City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,72.99,73,40,5.99,scattered clouds
1,Vaini,TO,-21.2,-175.2,77.16,83,75,4.61,broken clouds
2,Mataura,NZ,-46.1927,168.8643,47.48,88,100,2.59,light rain
3,Rikitea,PF,-23.1203,-134.9692,74.62,80,97,19.73,overcast clouds
4,Kodiak,US,57.79,-152.4072,47.71,49,1,3.44,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,61.29,87,70,3.44,broken clouds
6,Khani,GE,41.9563,42.9566,49.57,76,3,4.5,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,51.91,37,20,31.07,few clouds
8,Cabinda,AO,-5.55,12.2,76.23,79,100,9.08,overcast clouds
9,Albany,US,42.6001,-73.9662,66.16,80,95,6.55,overcast clouds
10,Hobart,AU,-42.8794,147.3294,46.26,75,20,1.99,few clouds
11,Pevek,RU,69.7008,170.3133,22.57,92,100,7.49,overcast clouds
12,Constitucion,CL,-35.3333,-72.4167,60.98,60,0,14.79,clear sky
13,Bluff,NZ,-46.6,168.3333,47.8,90,100,5.1,overcast clouds
14,Balangiga,PH,11.1097,125.3875,81.21,82,94,16.17,overcast clouds
15,Portland,US,45.5234,-122.6762,60.94,70,75,1.01,broken clouds
16,Ushuaia,AR,-54.8,-68.3,51.42,40,40,20.71,light rain
17,Castro,BR,-24.7911,-50.0119,57.63,93,100,9.22,overcast clouds
18,Tiksi,RU,71.6872,128.8694,29.01,98,100,6.44,light snow
19,Iquique,CL,-20.2208,-70.1431,62.64,72,29,11.81,scattered clouds
20,Faanui,PF,-16.4833,-151.75,79.14,76,41,13.27,scattered clouds
21,Rypefjord,NO,70.6333,23.6667,45.07,87,75,0.0,broken clouds
22,Laurel,US,39.0993,-76.8483,72.73,85,90,3.0,overcast clouds
23,Kuliyapitiya,LK,7.4688,80.0401,75.7,93,100,6.4,overcast clouds
24,Tessalit,ML,20.1986,1.0114,87.03,10,93,7.78,overcast clouds
25,Hamilton,US,39.1834,-84.5333,84.74,62,1,1.01,clear sky
26,Busselton,AU,-33.65,115.3333,55.09,73,96,15.12,overcast clouds
27,Lata,PT,40.1629,-8.3327,67.08,53,15,4.59,few clouds
28,Shu,KZ,43.5983,73.7614,44.87,71,100,11.1,overcast clouds
29,Mar Del Plata,AR,-38.0023,-57.5575,62.01,56,0,14.0,clear sky
30,Cherskiy,RU,68.75,161.3,0.46,98,87,5.55,overcast clouds
31,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,90,6.91,light snow
32,Sitka,US,57.0531,-135.33,51.69,71,20,4.61,light rain
33,Saldanha,ZA,-33.0117,17.9442,59.05,58,77,9.66,broken clouds
34,Torbay,CA,47.6666,-52.7314,45.28,79,20,16.11,few clouds
35,Hermanus,ZA,-34.4187,19.2345,65.89,67,98,7.85,overcast clouds
36,Solnechnyy,RU,50.7214,136.6319,40.51,87,100,8.48,heavy intensity rain
37,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,67,7.0,broken clouds
38,Ewa Beach,US,21.3156,-158.0072,87.75,54,1,14.97,clear sky
39,Yangjiang,CN,21.85,111.9667,79.95,89,82,6.08,light rain
40,Dolores,AR,-36.3132,-57.6792,60.37,77,64,10.58,broken clouds
41,Huangnihe,CN,43.5583,128.0239,37.92,77,0,6.8,clear sky
42,Hasaki,JP,35.7333,140.8333,66.6,73,54,14.85,broken clouds
43,Half Moon Bay,US,37.4636,-122.4286,81.91,57,1,1.01,clear sky
44,Kitimat,CA,54.0524,-128.6534,50.92,66,99,3.0,light rain
45,Cayenne,GF,4.9333,-52.3333,84.24,78,0,3.0,clear sky
46,Asau,RO,46.4333,26.4,40.75,47,23,2.28,light snow
47,Barrow,US,71.2906,-156.7887,28.42,74,90,10.36,overcast clouds
48,Tuatapere,NZ,-46.1333,167.6833,47.82,96,100,4.83,overcast clouds
49,Isangel,VU,-19.55,169.2667,78.91,69,20,13.8,few clouds
50,Mabaruma,GY,8.2,-59.7833,83.14,75,37,7.45,scattered clouds
51,Nishihara,JP,26.1842,127.7558,82.45,86,75,20.71,light intensity shower rain
52,Katsuura,JP,35.1333,140.3,72.19,71,77,12.95,broken clouds
53,Guaruja,BR,-23.9931,-46.2564,73.17,57,90,6.91,moderate rain
54,Kapaa,US,22.0752,-159.319,82.38,70,40,7.0,light rain
55,Kaitangata,NZ,-46.2817,169.8464,52.77,72,100,3.6,moderate rain
56,Tasiilaq,GL,65.6145,-37.6368,32.16,57,1,2.84,clear sky
57,Deputatskiy,RU,69.3,139.9,19.11,85,100,3.74,overcast clouds
58,Mount Isa,AU,-20.7333,139.5,67.77,100,90,5.75,moderate rain
59,Tucano,BR,-10.9631,-38.7867,84.38,36,14,15.7,few clouds
60,Wilmington,US,34.2257,-77.9447,77.95,77,97,3.0,overcast clouds
61,Vitim,RU,59.4511,112.5578,33.4,86,100,9.91,overcast clouds
62,Luderitz,NA,-26.6481,15.1594,71.13,40,9,6.11,clear sky
63,Rocha,UY,-34.4833,-54.3333,59.5,77,100,12.55,overcast clouds
64,Upernavik,GL,72.7868,-56.1549,33.08,98,100,12.64,snow
65,Borazjan,IR,29.2666,51.2159,80.47,21,0,1.36,clear sky
66,Kahului,US,20.8947,-156.47,83.46,74,20,18.41,light rain
67,Maningrida,AU,-12.0667,134.2667,76.89,83,98,4.76,overcast clouds
68,Bonthe,SL,7.5264,-12.505,78.8,84,15,6.26,few clouds
69,Bereda,ES,43.2686,-7.5406,58.91,99,9,6.08,clear sky
70,Komoro,JP,36.3167,138.4333,61.36,92,9,3.22,clear sky
71,Isla Mujeres,MX,21.2311,-86.731,82.45,69,8,6.85,clear sky
72,Abha,SA,18.2164,42.5053,66.02,26,0,6.91,clear sky
73,Asfi,MA,32.2994,-9.2372,68.88,92,99,10.69,overcast clouds
74,Cidreira,BR,-30.1811,-50.2056,65.25,78,100,19.39,overcast clouds
75,Hilo,US,19.7297,-155.09,80.28,91,90,8.05,moderate rain
76,Chuy,UY,-33.6971,-53.4616,60.58,78,95,15.61,overcast clouds
77,Port Lincoln,AU,-34.7333,135.8667,50.47,63,3,8.88,clear sky
78,Nemuro,JP,43.3236,145.575,63.52,89,100,32.77,heavy intensity rain
79,Saint-Augustin,CA,51.226,-58.6502,51.78,61,59,5.64,broken clouds
80,Husavik,IS,66.0449,-17.3389,37.31,97,100,1.32,overcast clouds
81,Hualmay,PE,-11.0964,-77.6139,66.78,79,49,9.84,scattered clouds
82,Sheridan,US,44.8333,-106.9173,67.01,34,20,5.01,few clouds
83,Nikolskoye,RU,59.7035,30.7861,51.4,68,15,8.52,few clouds
84,Charters Towers,AU,-20.1,146.2667,68.56,76,0,10.16,clear sky
85,Buchanan,LR,5.8808,-10.0467,78.76,86,99,5.86,light rain
86,Kalmunai,LK,7.4167,81.8167,80.74,78,97,4.68,overcast clouds
87,Nhulunbuy,AU,-12.2333,136.7667,79.41,78,90,4.61,overcast clouds
88,Qaanaaq,GL,77.484,-69.3632,29.5,89,100,8.43,overcast clouds
89,Butaritari,KI,3.0707,172.7902,81.27,69,49,10.71,scattered clouds
90,Bambous Virieux,MU,-20.3428,57.7575,71.85,94,75,8.05,light rain
91,Klembivka,UA,48.3904,28.4109,43.65,51,27,6.11,scattered clouds
92,Oriximina,BR,-1.7656,-55.8661,89.15,49,100,2.17,moderate rain
93,Aldan,RU,58.6031,125.3894,28.15,88,90,13.51,overcast clouds
94,Mormugao,IN,15.4,73.8,78.06,87,27,1.99,scattered clouds
95,Vanimo,PG,-2.6741,141.3028,78.84,89,100,3.09,overcast clouds
96,Paamiut,GL,61.994,-49.6678,36.63,61,100,9.42,overcast clouds
97,Hope,US,33.6671,-93.5916,89.65,34,0,13.44,clear sky
98,Cockburn Town,TC,21.4612,-71.1419,82.96,71,99,15.57,overcast clouds
99,Acajutla,SV,13.5928,-89.8275,95.34,74,100,8.01,overcast clouds
100,Ixtapa,MX,20.7,-105.2,87.03,74,75,6.91,broken clouds
101,Uvat,RU,59.1433,68.8953,26.82,70,0,2.44,clear sky
102,Lavrentiya,RU,65.5833,-171.0,28.96,80,30,2.77,scattered clouds
103,Avarua,CK,-21.2078,-159.775,77.05,69,100,8.05,overcast clouds
104,Mayumba,GA,-3.432,10.6554,75.81,85,100,4.81,overcast clouds
105,Tautira,PF,-17.7333,-149.15,84.22,76,69,8.39,broken clouds
106,Merauke,ID,-8.4667,140.3333,76.62,84,100,7.65,overcast clouds
107,Port Blair,IN,11.6667,92.75,80.73,83,100,17.02,overcast clouds
108,Groningen,NL,53.25,6.75,56.01,80,75,4.61,mist
109,Dikson,RU,73.5069,80.5464,29.88,66,100,22.55,overcast clouds
110,Jacareacanga,BR,-6.2222,-57.7528,90.48,49,79,2.3,broken clouds
111,Bacolod,PH,10.6667,122.95,78.62,91,97,18.16,light rain
112,Menongue,AO,-14.6585,17.691,73.18,24,38,5.7,scattered clouds
113,Atuona,PF,-9.8,-139.0333,78.46,75,47,19.48,scattered clouds
114,Chokurdakh,RU,70.6333,147.9167,17.51,89,100,5.79,overcast clouds
115,Beisfjord,NO,68.3751,17.5988,50.05,91,100,3.53,light rain
116,Chapais,CA,49.7834,-74.8492,56.98,94,100,7.83,overcast clouds
117,Doha,QA,25.2867,51.5333,85.98,54,0,5.75,clear sky
118,Tiruvidaimarudur,IN,10.996,79.4521,77.85,89,100,8.43,overcast clouds
119,New Norfolk,AU,-42.7826,147.0587,46.92,72,87,1.01,overcast clouds
120,Irece,BR,-11.3042,-41.8558,88.3,23,35,12.44,scattered clouds
121,Norman Wells,CA,65.282,-126.8329,32.04,93,75,10.36,broken clouds
122,Ostrovnoy,RU,68.0531,39.5131,42.62,94,100,3.13,overcast clouds
123,Lebu,CL,-37.6167,-73.65,54.75,74,12,11.74,few clouds
124,Saint-Pierre,RE,-21.3393,55.4781,71.24,73,0,6.91,clear sky
125,Hillsborough,US,37.5741,-122.3794,81.32,59,20,3.44,few clouds
126,Blagoyevo,RU,63.3667,47.9167,47.48,95,100,10.8,overcast clouds
127,Carnarvon,AU,-24.8667,113.6333,62.67,82,0,16.11,clear sky
128,Cape Town,ZA,-33.9258,18.4232,66.11,85,0,3.44,clear sky
129,Provideniya,RU,64.3833,-173.3,32.11,80,75,6.71,broken clouds
130,Esperance,AU,-33.8667,121.9,58.39,43,100,19.95,overcast clouds
131,Kutum,SD,14.2,24.6667,84.45,19,82,14.92,broken clouds
132,Touros,BR,-5.1989,-35.4608,81.5,76,26,12.86,scattered clouds
133,Beloha,MG,-25.1667,45.05,67.64,87,16,7.61,light rain
134,Fort Wellington,GY,6.4,-57.6,82.63,75,100,9.75,overcast clouds
135,Talnakh,RU,69.4865,88.3972,20.79,97,93,5.17,light snow
136,Izumo,JP,35.3667,132.7667,71.55,80,18,5.48,few clouds
137,Poum,NC,-20.2333,164.0167,74.32,64,13,20.13,few clouds
138,Huilong,CN,31.8111,121.655,74.03,88,100,23.24,overcast clouds
139,Pak Phanang,TH,8.3511,100.202,79.36,83,70,9.91,broken clouds
140,Tacuarembo,UY,-31.7333,-55.9833,65.16,93,100,6.96,moderate rain
141,Nikel,RU,69.4128,30.222,41.18,96,100,2.28,overcast clouds
142,Pridonskoy,RU,51.6841,39.0727,32.56,93,15,2.24,few clouds
143,Mackenzie,CA,55.2999,-123.1698,46.62,49,90,12.66,overcast clouds
144,Nampula,MZ,-15.1165,39.2666,73.35,73,0,9.22,clear sky
145,Faya,SA,18.3851,42.4509,66.31,29,34,11.3,scattered clouds
146,Port Elizabeth,ZA,-33.918,25.5701,61.09,72,20,19.57,few clouds
147,Marquette,US,46.5333,-87.6335,71.82,82,100,11.45,overcast clouds
148,Ribeira Grande,PT,38.5167,-28.7,70.9,89,100,23.15,overcast clouds
149,Pitimbu,BR,-7.4706,-34.8086,79.39,79,52,9.01,broken clouds
150,Komsomolskiy,UZ,40.4272,71.7189,44.02,81,24,4.61,few clouds
151,Atar,MR,20.5169,-13.0499,88.3,18,1,4.83,clear sky
152,Victoria,HK,22.2855,114.1577,82.33,84,100,3.0,overcast clouds
153,Iqaluit,CA,63.7506,-68.5145,37.13,86,40,3.0,scattered clouds
154,Leningradskiy,RU,69.3833,178.4167,21.0,89,100,4.23,overcast clouds
155,Angoram,PG,-4.0625,144.0661,73.53,92,100,2.51,overcast clouds
156,Kota Tinggi,MY,1.7381,103.8999,80.64,92,100,3.2,overcast clouds
157,Boyolangu,ID,-8.1181,111.8935,74.84,86,98,5.14,overcast clouds
158,Acarau,BR,-2.8856,-40.12,79.74,77,7,19.95,clear sky
159,Coihaique,CL,-45.5752,-72.0662,56.01,58,75,4.61,broken clouds
160,Lagos,NG,6.5833,3.75,80.92,95,100,3.47,moderate rain
161,The Valley,AI,18.217,-63.0578,84.06,78,75,14.97,broken clouds
162,Pisco,PE,-13.7,-76.2167,68.05,68,0,14.97,clear sky
163,Nanortalik,GL,60.1432,-45.2371,36.37,61,6,2.91,clear sky
164,Mahebourg,MU,-20.4081,57.7,71.89,94,75,8.05,light rain
165,Honiara,SB,-9.4333,159.95,81.84,79,96,1.59,overcast clouds
166,Bollnas,SE,61.3482,16.3946,50.4,91,100,11.21,overcast clouds
167,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,88,75,17.27,light rain
168,Cabedelo,BR,-6.9811,-34.8339,79.47,75,32,10.09,scattered clouds
169,Khasan,RU,42.4308,130.6434,53.01,53,52,15.99,broken clouds
170,Mount Gambier,AU,-37.8333,140.7667,47.97,60,99,4.76,overcast clouds
171,Bengkulu,ID,-3.8004,102.2655,75.54,90,91,3.42,overcast clouds
172,Roros,NO,62.5747,11.3842,35.44,93,20,1.14,fog
173,Bratsk,RU,56.1325,101.6142,39.69,79,90,10.85,overcast clouds
174,Besancon,FR,47.2488,6.0182,45.05,100,0,3.91,clear sky
175,Port Keats,AU,-14.25,129.55,81.19,77,98,8.97,overcast clouds
176,Port Hardy,CA,50.6996,-127.4199,51.8,81,75,5.75,light intensity shower rain
177,Udachnyy,RU,66.4167,112.4,22.66,91,100,18.61,overcast clouds
178,San Carlos De Bariloche,AR,-41.1456,-71.3082,60.55,33,0,25.32,clear sky
179,Nantucket,US,41.2835,-70.0995,62.65,87,100,21.68,light rain
180,Port-Gentil,GA,-0.7193,8.7815,76.96,88,20,4.61,few clouds
181,Whitehorse,CA,60.7161,-135.0538,42.1,69,75,2.3,broken clouds
182,Emilio Carranza,MX,19.9711,-96.6114,87.15,65,6,14.88,clear sky
183,Taga,RO,46.95,24.05,45.32,46,100,2.42,overcast clouds
184,Sorland,NO,67.667,12.6934,50.4,78,100,8.28,overcast clouds
185,Lookan,PH,5.037,120.1027,83.52,77,100,9.86,overcast clouds
186,Dali,CN,25.7,100.1833,59.05,88,47,2.75,scattered clouds
187,Seddon,AU,-37.8068,144.8916,50.79,86,75,1.01,broken clouds
188,Smithers,CA,54.7804,-127.1743,46.72,57,75,2.3,broken clouds
189,Sinnamary,GF,5.3833,-52.95,81.7,78,99,10.87,overcast clouds
190,Lucea,JM,18.451,-78.1736,85.86,70,99,1.36,overcast clouds
191,Dawlatabad,AF,36.4141,64.9053,46.6,35,0,3.91,clear sky
192,Razdolinsk,RU,58.4211,94.6658,28.56,90,100,6.87,overcast clouds
193,Khatanga,RU,71.9667,102.5,16.52,96,100,5.1,light snow
194,Codrington,AU,-38.2667,141.9667,48.2,71,83,9.86,broken clouds
195,Khargone,IN,21.8167,75.6,78.62,65,24,3.78,few clouds
196,Sakaiminato,JP,35.55,133.2333,71.58,83,20,5.75,few clouds
197,Morros,BR,-9.4467,-46.3003,93.4,19,96,5.44,overcast clouds
198,Orocue,CO,4.7912,-71.3354,84.38,75,89,1.99,overcast clouds
199,Narsaq,GL,60.9167,-46.05,30.42,48,26,1.59,scattered clouds
200,Bremerton,US,47.5673,-122.6326,60.26,74,90,1.01,light rain
201,Sharkan,RU,57.2989,53.8712,45.16,96,100,5.17,light rain
202,La Ronge,CA,55.1001,-105.2842,53.82,58,75,4.61,broken clouds
203,Tatawin,TN,32.9297,10.4518,68.88,73,0,3.96,clear sky
204,Meulaboh,ID,4.1363,96.1285,76.15,88,100,3.29,overcast clouds
205,Kruisfontein,ZA,-34.0033,24.7314,52.84,76,41,6.2,scattered clouds
206,Aklavik,CA,68.2191,-135.0107,30.92,78,100,9.31,overcast clouds
207,Santa Isabel,BR,-23.3156,-46.2214,65.66,97,100,5.57,moderate rain
208,Salalah,OM,17.0151,54.0924,80.69,83,75,4.61,broken clouds
209,Tual,ID,-5.6667,132.75,82.38,75,100,1.63,overcast clouds
210,Vostok,RU,46.4856,135.8833,37.0,88,100,14.92,overcast clouds
211,Oranjestad,AW,12.524,-70.027,87.75,66,20,11.5,few clouds
212,Saskylakh,RU,71.9167,114.0833,17.26,96,100,6.91,overcast clouds
213,Bogalusa,US,30.791,-89.8487,87.85,48,75,11.5,broken clouds
214,Soledar,UA,48.6794,38.089,46.0,58,91,7.02,overcast clouds
215,Ardabil,IR,38.2498,48.2933,45.25,87,86,1.21,overcast clouds
216,Avera,US,33.194,-82.5271,83.08,55,10,8.14,clear sky
217,Namie,JP,37.4833,141.0,68.97,83,0,10.27,clear sky
218,Mantua,IT,45.1667,10.7833,53.71,83,0,1.01,clear sky
219,Vryheid,ZA,-27.7695,30.7917,49.8,82,68,2.44,broken clouds
220,Saint-Philippe,RE,-21.3585,55.7679,71.15,88,8,6.8,clear sky
221,Rio Gallegos,AR,-51.6226,-69.2181,55.45,47,20,11.5,few clouds
222,Northam,GB,51.0333,-4.2167,54.61,83,11,11.83,few clouds
223,Shimoda,JP,34.6667,138.95,71.71,81,10,7.05,clear sky
224,Lebanon,US,36.2081,-86.2911,85.26,58,1,9.22,clear sky
225,Chake Chake,TZ,-5.2459,39.7666,75.63,85,53,9.37,broken clouds
226,Cosolapa,MX,18.5833,-96.65,86.27,65,20,4.5,few clouds
227,Coquimbo,CL,-29.9533,-71.3436,64.13,48,0,14.97,clear sky
228,Viedma,AR,-40.8135,-62.9967,73.74,28,1,18.45,clear sky
229,Haines Junction,CA,60.7522,-137.5108,39.15,56,26,2.3,scattered clouds
230,Sakata,JP,38.9167,139.855,70.99,77,28,9.91,scattered clouds
231,Micheweni,TZ,-4.9667,39.8333,77.2,82,40,11.61,scattered clouds
232,Balaguer,ES,41.7912,0.8109,60.42,84,7,2.04,clear sky
233,Yellowknife,CA,62.456,-114.3525,37.42,100,90,16.11,light rain
